# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CMB_model
# start_datetime = 2023-07-24 11:39:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpd5wvro_r/spscid6m.json
# init = /tmp/tmpd5wvro_r/9xvngoso.json
# random
#   seed = 24453
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CMB/CMB-20230724123932.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Ob,Oc,wr,Or,OL,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0472541
# Diagonal elements of inverse mass matrix:
# 6.79623e-05, 1.02838e-05, 5.09681e-05
-2.1182,0.895908,0.0472541,2,3,0,2.30071,0.68428,0.0478484,0.253604,4.15e-05,8.86299e-05,0.698459,0.68428,0.0478484,0.253604,8.86299e-05,0.698459,0.0608603,0.548054,1091.7,0,0,3.17268,3.17268,0.0330647,301.448,1.74195,0.0224045,-0.122401,0.00125188,0.000124496
-1.15918,0.970634,0.0472541,6,79,0,3.11167,0.684543,0.0478069,0.252798,4.15e-05,8.85619e-05,0.699307,0.684543,0.0478069,0.252798,8.85619e-05,0.699307,0.0608649,0.548056,1091.68,0,0,3.17625,3.17625,0.0330949,301.511,1.74146,0.0224023,-0.0585257,0.000756096,0.000122268
-0.745484,0.958239,0.0472541,2,7,0,2.2295,0.68408,0.0476056,0.251887,4.15e-05,8.86818e-05,0.700419,0.68408,0.0476056,0.251887,8.86818e-05,0.700419,0.0611235,0.548174,1091.79,0,0,3.18092,3.18092,0.0331291,301.643,1.74079,0.0222778,0.0728887,8.74186e-05,-2.2396e-06
-0.744121,0.983446,0.0472541,5,63,0,1.38177,0.681462,0.0477022,0.255251,4.15e-05,8.93645e-05,0.696958,0.681462,0.0477022,0.255251,8.93645e-05,0.696958,0.0613861,0.548291,1092.02,0,0,3.16632,3.16632,0.0329846,301.574,1.74278,0.0221524,0.00364038,0.00207735,-0.000127593
-2.58274,0.767428,0.0472541,6,87,0,4.4827,0.692836,0.0462928,0.241567,4.15e-05,8.64545e-05,0.712053,0.692836,0.0462928,0.241567,8.64545e-05,0.712053,0.061241,0.548227,1091.7,0,0,3.23175,3.23175,0.03368,301.45,1.73392,0.0222215,-0.120104,-0.00678392,-5.84752e-05
-1.30414,0.972668,0.0472541,5,39,0,3.46267,0.689751,0.0467798,0.245502,4.15e-05,8.72295e-05,0.707631,0.689751,0.0467798,0.245502,8.72295e-05,0.707631,0.0611693,0.548194,1091.73,0,0,3.21212,3.21212,0.0334727,301.474,1.73657,0.0222558,-0.0955229,-0.00412977,-2.4219e-05
-1.12639,1,0.0472541,2,3,0,1.39129,0.689699,0.0468169,0.245575,4.15e-05,8.72426e-05,0.70752,0.689699,0.0468169,0.245575,8.72426e-05,0.70752,0.0611394,0.548181,1091.71,0,0,3.21163,3.21163,0.0334666,301.484,1.73664,0.0222701,-0.0862833,-0.00406387,-9.8831e-06
-1.53759,0.912068,0.0472541,5,43,0,2.3049,0.685516,0.0471311,0.250404,4.15e-05,8.83107e-05,0.702377,0.685516,0.0471311,0.250404,8.83107e-05,0.702377,0.0613945,0.548295,1091.95,0,0,3.18929,3.18929,0.0332333,301.489,1.73966,0.0221484,-0.0811799,-0.00104413,-0.000131579
-1.31747,0.99208,0.0472541,5,47,0,2.79977,0.690829,0.0471106,0.245076,4.15e-05,8.69575e-05,0.707727,0.690829,0.0471106,0.245076,8.69575e-05,0.707727,0.060698,0.54798,1091.44,0,0,3.21257,3.21257,0.0334751,301.495,1.73653,0.0224833,-0.0751004,-0.00416978,0.000203261
-1.25128,0.982018,0.0472541,6,79,0,2.25965,0.68354,0.0473168,0.252189,4.15e-05,8.88219e-05,0.700405,0.68354,0.0473168,0.252189,8.88219e-05,0.700405,0.0614803,0.548333,1092.02,0,0,3.18085,3.18085,0.0331352,301.581,1.74079,0.0221077,0.0109607,8.83111e-05,-0.000172301
