# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 11:02:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpk70t8efj/6y26nmip.json
# init = /tmp/tmpk70t8efj/bsoyusr0.json
# random
#   seed = 66295
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CC/CC-20230724120204.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,lambda,theta.1,theta.2,theta.3,E,guess.1,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.376193
# Diagonal elements of inverse mass matrix:
# 0.00179757, 0.0246724
-9.48636,0.9962,0.376193,2,7,0,9.9153,0.681958,0.316828,0.393074,0.681958,0.316828,0.393074,2.946,2.99025,69.9929,70.5535,71.4348,73.0133,73.3122,73.9927,74.0273,76.5912,76.9802,79.9484,81.1816,82.0892,82.1076,83.2548,84.2118,85.4384,85.853,85.9383,91.9474,97.0002,101.315,103.293,109.526,109.867,111.241,121.034,141.489,146.676,152.304,160.907,180.638,200.904
-9.76134,0.995362,0.376193,2,7,0,9.98665,0.724056,0.318756,0.392345,0.724056,0.318756,0.392345,2.95435,2.99832,74.3275,74.9269,75.8693,77.5571,77.8766,78.6041,78.6411,81.3818,81.7976,84.9695,86.2871,87.2567,87.2763,88.5017,89.5239,90.834,91.2768,91.3679,97.7837,103.176,107.78,109.89,116.539,116.902,118.367,128.808,150.611,156.138,162.135,171.301,192.322,213.911
-8.74751,0.987828,0.376193,2,7,0,10.2382,0.705026,0.314382,0.393997,0.705026,0.314382,0.393997,2.93537,2.97998,72.3435,72.9178,73.8207,75.438,75.7443,76.4417,76.4772,79.105,79.5038,82.5471,83.8118,84.7427,84.7615,85.9383,86.9201,88.1786,88.6041,88.6917,94.8597,100.049,104.481,106.514,112.921,113.271,114.684,124.753,145.796,151.133,156.925,165.779,186.088,206.951
-9.37428,0.894673,0.376193,2,7,0,9.83573,0.701005,0.290691,0.402849,0.701005,0.290691,0.402849,2.83041,2.87862,71.7692,72.2901,73.1095,74.5787,74.8571,75.4914,75.5237,77.9177,78.2815,81.0632,82.2218,83.0756,83.0929,84.1734,85.0759,86.2341,86.626,86.7067,92.4065,97.2254,101.357,103.255,109.254,109.583,110.909,120.381,140.271,145.33,150.824,159.232,178.545,198.413
-10.7007,0.942799,0.376193,3,11,0,11.2421,0.645205,0.375639,0.370306,0.645205,0.375639,0.370306,3.19098,3.22735,66.6067,67.2559,68.2746,70.0937,70.4373,71.2185,71.2582,74.1874,74.6299,77.9901,79.3778,80.396,80.4166,81.7,82.7677,84.1324,84.5928,84.6875,91.3093,96.8162,101.483,103.612,110.291,110.655,112.121,122.516,144.037,149.466,155.347,164.322,184.85,205.883
-9.63712,0.999911,0.376193,3,7,0,10.9627,0.651407,0.415439,0.354242,0.651407,0.415439,0.354242,3.34666,3.37837,67.523,68.2626,69.4216,71.4857,71.8747,72.7583,72.8031,76.1043,76.6014,80.3631,81.9101,83.0431,83.066,84.4914,85.675,87.1853,87.6941,87.7987,95.084,101.104,106.183,108.495,115.728,116.121,117.705,128.909,151.999,157.809,164.097,173.685,195.589,218.004
-8.98974,0.988292,0.376193,2,7,0,10.2859,0.675469,0.377953,0.369388,0.675469,0.377953,0.369388,3.20023,3.23632,69.7473,70.4319,71.5062,73.4243,73.7865,74.61,74.6518,77.7392,78.2055,81.7458,83.2075,84.2799,84.3016,85.6532,86.7775,88.2143,88.699,88.7987,95.7682,101.562,106.47,108.709,115.732,116.115,117.655,128.583,151.198,156.902,163.08,172.509,194.073,216.166
-9.20727,0.938733,0.376193,2,3,0,9.49108,0.677622,0.385363,0.366433,0.677622,0.385363,0.366433,3.2297,3.26489,70.0224,70.7254,71.8282,73.7962,74.1677,75.0122,75.0551,78.219,78.6966,82.3201,83.8151,84.9115,84.9337,86.315,87.4636,88.9311,89.4259,89.5278,96.6378,102.541,107.537,109.816,116.958,117.347,118.913,130.016,152.973,158.76,165.027,174.59,196.456,218.852
-9.52602,0.735267,0.376193,2,3,0,11.1321,0.67243,0.334832,0.386221,0.67243,0.334832,0.386221,3.02308,3.06478,69.1357,69.7257,70.6528,72.3121,72.6261,73.3406,73.3769,76.0653,76.4727,79.5767,80.864,81.8106,81.8297,83.0251,84.0214,85.2974,85.7284,85.8171,92.0489,97.2704,101.718,103.753,110.159,110.509,111.918,121.949,142.836,148.123,153.856,162.615,182.684,203.281
-9.10233,0.722329,0.376193,2,3,0,13.5395,0.692071,0.362214,0.375602,0.692071,0.362214,0.375602,3.13672,3.17478,71.3482,72.0149,73.0617,74.9323,75.2858,76.0899,76.1308,79.1493,79.6058,83.076,84.5111,85.5649,85.5863,86.9153,88.0217,89.4366,89.9141,90.0124,96.8926,102.628,107.496,109.719,116.699,117.08,118.613,129.499,152.074,157.774,163.951,173.381,194.962,217.084
