# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SS_model
# start_datetime = 2023-07-24 10:35:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 3500
#     num_warmup = 1500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmp_w4uihzl/36zmzd50.json
# init = /tmp/tmp_w4uihzl/tnokppxg.json
# random
#   seed = 30913
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SS/LISA/SS-20230724113517.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15
# Adaptation terminated
# Step size = 0.44766
# Diagonal elements of inverse mass matrix:
# 0.000143152, 0.00997403
-10.4522,0.895641,0.44766,2,3,0,11.3395,0.699845,0.332245,0.699845,0.332245,0.996718,2.40633,11.0684,12.1596,12.2222,12.4371,15.5194,24.165,24.2049,24.5287,24.9645,33.8003,42.8501,52.2789,57.4643
-10.8363,0.99691,0.44766,3,7,0,10.9881,0.694298,0.32457,0.694298,0.32457,1.00583,2.43118,11.2186,12.3271,12.3907,12.6091,15.7409,24.5288,24.5695,24.8986,25.3417,34.3256,43.5284,53.1174,58.3911
-10.7143,1,0.44766,2,3,0,10.8999,0.694746,0.332102,0.694746,0.332102,1.00405,2.4241,11.1508,12.2501,12.3132,12.5297,15.6351,24.3455,24.3858,24.7119,25.151,34.0531,43.1708,52.6704,57.8947
-10.8528,1,0.44766,2,3,0,10.8735,0.69422,0.336495,0.69422,0.336495,1.00416,2.42274,11.1244,12.2198,12.2826,12.4984,15.5921,24.2681,24.3082,24.633,25.0703,33.9358,43.0153,52.4747,57.6767
-10.6235,0.906368,0.44766,2,3,0,11.6072,0.697289,0.336628,0.697289,0.336628,0.999723,2.41198,11.0744,12.1648,12.2274,12.4421,15.5218,24.1584,24.1983,24.5217,24.957,33.7821,42.8204,52.2366,57.415
-11.5861,0.984322,0.44766,3,11,0,11.705,0.72494,0.233663,0.72494,0.233663,0.97671,2.39626,11.56,12.7392,12.8069,13.0395,16.385,25.8283,25.8721,26.2268,26.7044,36.4038,46.3609,56.75,62.4681
-12.3277,0.69815,0.44766,1,3,0,13.917,0.716984,0.23346,0.716984,0.23346,0.98758,2.42302,11.6904,12.883,12.9515,13.1867,16.5703,26.1212,26.1655,26.5243,27.0073,36.8174,46.8882,57.396,63.1794
-10.1831,0.993954,0.44766,3,11,0,12.6147,0.70662,0.315948,0.70662,0.315948,0.98956,2.39505,11.0928,12.1917,12.2547,12.4712,15.5769,24.2949,24.3353,24.6618,25.1015,34.0171,43.1513,52.6699,57.9052
-10.4458,0.968582,0.44766,2,3,0,10.5286,0.700231,0.293562,0.700231,0.293562,1.00195,2.43363,11.3854,12.5212,12.5863,12.8101,16.023,25.053,25.0948,25.4333,25.889,35.1326,44.6072,54.4833,59.9162
-10.266,0.807502,0.44766,2,3,0,12.4616,0.699026,0.3032,0.699026,0.3032,1.00222,2.43055,11.3209,12.4468,12.5114,12.7332,15.9167,24.8595,24.9009,25.236,25.6872,34.8375,44.2146,53.9878,59.3636
-11.693,0.897578,0.44766,2,3,0,11.7357,0.695762,0.298895,0.695762,0.298895,1.00757,2.44521,11.4115,12.5479,12.6131,12.837,16.0509,25.0813,25.1231,25.4615,25.9172,35.1589,44.6305,54.5027,59.9332
-11.3023,0.991566,0.44766,3,7,0,12.1249,0.714072,0.305774,0.714072,0.305774,0.980725,2.37745,11.0608,12.1599,12.223,12.4395,15.5471,24.2752,24.3156,24.6426,25.0829,34.0126,43.1631,52.6999,57.9455
-11.0901,0.987426,0.44766,2,3,0,11.7907,0.707638,0.261353,0.707638,0.261353,0.996329,2.43282,11.5621,12.7286,12.7956,13.0256,16.3301,25.6373,25.6804,26.0296,26.4998,36.0429,45.8318,56.0404,61.6576
-10.0872,0.994681,0.44766,2,7,0,12.4461,0.71541,0.255802,0.71541,0.255802,0.986345,2.4107,11.4901,12.6518,12.7185,12.9475,16.2392,25.5143,25.5572,25.9053,26.3739,35.8871,45.6467,55.8257,61.4269
-10.2125,0.94634,0.44766,2,3,0,10.7585,0.71699,0.252521,0.71699,0.252521,0.984667,2.40793,11.4968,12.6607,12.7275,12.957,16.2553,25.5514,25.5945,25.9434,26.4132,35.9498,45.7344,55.9399,61.556
-10.4554,0.988803,0.44766,1,3,0,10.8653,0.721163,0.249797,0.721163,0.249797,0.97938,2.39612,11.457,12.6181,12.6847,12.9137,16.2046,25.4816,25.5246,25.8729,26.3417,35.8604,45.6273,55.8149,61.4212
-12.1488,0.953202,0.44766,2,3,0,12.2858,0.728712,0.232273,0.728712,0.232273,0.971864,2.38496,11.5145,12.6898,12.7573,12.9891,16.3237,25.7373,25.781,26.1346,26.6107,36.2806,46.2078,56.566,62.2671
