# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SnIa_model
# start_datetime = 2023-07-24 10:28:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpkinjnhmz/iqxe1fbv.json
# init = /tmp/tmpkinjnhmz/_tnyecvh.json
# random
#   seed = 33388
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/SnIa/SnIa-20230724112805.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,Delta,dLhat,A,B,C
# Adaptation terminated
# Step size = 0.895752
# Diagonal elements of inverse mass matrix:
# 0.00446886
-26.9389,0.991679,0.895752,1,3,0,28.6214,0.272267,23.6537,2.84747,3.26045e+07,1.37007e+06,57571.6
-27.3328,0.913764,0.895752,1,1,0,27.371,0.268053,23.646,2.85752,3.25995e+07,1.36996e+06,57571.6
-27.5684,0.982616,0.895752,2,3,0,27.7131,0.266003,23.6423,2.86247,3.25971e+07,1.36991e+06,57571.6
-27.8422,0.9399,0.895752,1,1,0,28.0304,0.263886,23.6384,2.8676,3.25946e+07,1.36986e+06,57571.6
-27.1687,1,0.895752,1,1,0,27.7347,0.269657,23.6489,2.85368,3.26014e+07,1.37e+06,57571.6
-26.5121,0.996202,0.895752,1,3,0,27.0716,0.280446,23.6683,2.82835,3.26142e+07,1.37027e+06,57571.6
-26.9677,0.918134,0.895752,1,3,0,26.994,0.271909,23.653,2.84832,3.26041e+07,1.37006e+06,57571.6
-26.5316,0.998384,0.895752,1,3,0,26.8813,0.279746,23.6671,2.82996,3.26133e+07,1.37025e+06,57571.6
-26.5316,0.779342,0.895752,2,3,0,28.3133,0.279746,23.6671,2.82996,3.26133e+07,1.37025e+06,57571.6
-26.4971,1,0.895752,1,1,0,26.526,0.281086,23.6694,2.82687,3.26149e+07,1.37029e+06,57571.6
-26.7395,0.957257,0.895752,1,3,0,26.7487,0.27513,23.6588,2.84072,3.26079e+07,1.37014e+06,57571.6
-27.2301,0.893315,0.895752,1,1,0,27.2334,0.269037,23.6478,2.85517,3.26007e+07,1.36999e+06,57571.6
-27.7198,0.894597,0.895752,1,1,0,27.799,0.264802,23.6401,2.86537,3.25957e+07,1.36988e+06,57571.6
-27.1398,1,0.895752,1,1,0,27.6389,0.269959,23.6495,2.85296,3.26018e+07,1.37001e+06,57571.6
-26.9696,0.870063,0.895752,1,3,0,28.5146,0.297292,23.6976,2.79047,3.26338e+07,1.37068e+06,57571.6
-26.4987,1,0.895752,2,3,0,26.8729,0.281011,23.6693,2.82704,3.26148e+07,1.37029e+06,57571.6
-27.4564,0.890861,0.895752,2,3,0,27.5143,0.302494,23.7064,2.77916,3.26398e+07,1.37081e+06,57571.6
-26.524,0.996078,0.895752,1,3,0,27.3168,0.288934,23.6832,2.80901,3.26241e+07,1.37048e+06,57571.6
-27.303,0.858419,0.895752,1,3,0,27.3608,0.301025,23.7039,2.78233,3.26381e+07,1.37077e+06,57571.6
-28.5607,0.741202,0.895752,1,1,0,28.5865,0.310836,23.7203,2.76139,3.26493e+07,1.37101e+06,57571.6
-27.2954,1,0.895752,1,1,0,28.2839,0.300949,23.7038,2.7825,3.2638e+07,1.37077e+06,57571.6
-27.0857,1,0.895752,1,1,0,27.3466,0.2987,23.7,2.78739,3.26354e+07,1.37072e+06,57571.6
-27.2313,0.966033,0.895752,1,1,0,27.3449,0.300294,23.7027,2.78392,3.26373e+07,1.37076e+06,57571.6
-26.4618,0.988276,0.895752,1,3,0,27.305,0.284002,23.6746,2.82018,3.26183e+07,1.37036e+06,57571.6
-26.5143,0.986151,0.895752,1,3,0,26.5375,0.28857,23.6826,2.80983,3.26237e+07,1.37047e+06,57571.6
-26.5628,0.943765,0.895752,2,3,0,26.9269,0.278801,23.6654,2.83215,3.26122e+07,1.37023e+06,57571.6
-26.6207,0.935448,0.895752,2,3,0,27.0875,0.29161,23.6878,2.80302,3.26272e+07,1.37055e+06,57571.6
-26.5887,0.961169,0.895752,1,3,0,26.9602,0.278125,23.6642,2.83372,3.26114e+07,1.37021e+06,57571.6
-26.6234,0.947681,0.895752,2,7,0,26.9714,0.291671,23.6879,2.80289,3.26273e+07,1.37055e+06,57571.6
-26.6757,0.941695,0.895752,1,3,0,27.1274,0.276259,23.6609,2.83807,3.26092e+07,1.37017e+06,57571.6
-27.4876,0.742548,0.895752,1,3,0,28.5488,0.302779,23.7069,2.77855,3.26401e+07,1.37082e+06,57571.6
-27.4876,0.72763,0.895752,1,1,0,28.5489,0.302779,23.7069,2.77855,3.26401e+07,1.37082e+06,57571.6
-27.2311,1,0.895752,1,1,0,27.5517,0.300292,23.7027,2.78392,3.26372e+07,1.37076e+06,57571.6
-26.602,0.922105,0.895752,1,3,0,27.8377,0.277806,23.6636,2.83446,3.26111e+07,1.37021e+06,57571.6
-26.4733,1,0.895752,2,3,0,26.5744,0.286413,23.6788,2.8147,3.26212e+07,1.37042e+06,57571.6
-27.1746,0.856551,0.895752,1,3,0,27.2945,0.299692,23.7017,2.78523,3.26366e+07,1.37074e+06,57571.6
-28.5979,0.712658,0.895752,1,1,0,28.6041,0.311074,23.7207,2.76089,3.26496e+07,1.37102e+06,57571.6
-27.4817,1,0.895752,1,1,0,28.394,0.302725,23.7068,2.77866,3.26401e+07,1.37082e+06,57571.6
-28.8754,0.717386,0.895752,1,1,0,28.9153,0.312789,23.7236,2.75729,3.26516e+07,1.37106e+06,57571.6
-27.9951,1,0.895752,1,1,0,28.854,0.306932,23.7138,2.76965,3.26449e+07,1.37092e+06,57571.6
-27.0891,1,0.895752,1,1,0,27.8007,0.298739,23.7,2.78731,3.26355e+07,1.37072e+06,57571.6
-30.2161,0.74254,0.895752,2,3,0,30.2163,0.250927,23.6141,2.89986,3.2579e+07,1.36953e+06,57571.6
-26.716,0.97539,0.895752,1,3,0,29.7505,0.275528,23.6595,2.83979,3.26084e+07,1.37015e+06,57571.6
-26.6553,0.946925,0.895752,1,3,0,27.2383,0.292353,23.6891,2.80137,3.26281e+07,1.37056e+06,57571.6
-26.5909,0.951451,0.895752,2,3,0,27.1019,0.278071,23.6641,2.83385,3.26114e+07,1.37021e+06,57571.6
-26.7347,0.934099,0.895752,2,3,0,27.1682,0.293843,23.6917,2.79806,3.26298e+07,1.3706e+06,57571.6
-27.1288,0.910902,0.895752,1,1,0,27.1378,0.299189,23.7008,2.78632,3.2636e+07,1.37073e+06,57571.6
-27.6302,0.887639,0.895752,1,1,0,27.6952,0.304031,23.709,2.77585,3.26416e+07,1.37085e+06,57571.6
-29.864,0.587004,0.895752,1,1,0,29.8776,0.318242,23.7325,2.74597,3.26578e+07,1.37119e+06,57571.6
-28.426,1,0.895752,1,1,0,29.7195,0.309957,23.7189,2.76324,3.26483e+07,1.37099e+06,57571.6
-28.761,0.923168,0.895752,1,1,0,29.1474,0.312094,23.7224,2.75875,3.26508e+07,1.37104e+06,57571.6
-27.1396,1,0.895752,2,3,0,28.3759,0.299309,23.701,2.78606,3.26361e+07,1.37073e+06,57571.6
-26.5383,1,0.895752,2,3,0,27.0057,0.279527,23.6667,2.83047,3.26131e+07,1.37025e+06,57571.6
-26.7421,0.948849,0.895752,2,3,0,26.978,0.275087,23.6588,2.84082,3.26079e+07,1.37014e+06,57571.6
-26.4898,1,0.895752,2,3,0,26.6863,0.287473,23.6807,2.81231,3.26224e+07,1.37044e+06,57571.6
-26.4856,0.992567,0.895752,1,3,0,26.5535,0.281679,23.6705,2.82551,3.26156e+07,1.3703e+06,57571.6
-26.5943,0.981965,0.895752,1,3,0,26.596,0.277988,23.6639,2.83404,3.26113e+07,1.37021e+06,57571.6
