# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = SSx43SnIa_model
# start_datetime = 2023-07-24 11:16:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpsjosbz2s/9rbfn0mp.json
# init = /tmp/tmpsjosbz2s/qwqasnzb.json
# random
#   seed = 36427
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-LCDM/SS+SnIa/LISA/SS+SnIa-20230724121610.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,alpha,theta.1,theta.2,theta.3,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,correction,Delta,A,B,C
# Adaptation terminated
# Step size = 0.522079
# Diagonal elements of inverse mass matrix:
# 7.49891e-05, 0.000166893, 0.00579836
-31.4037,1,0.522079,3,7,0,33.239,0.703479,0.283248,-0.225857,0.703479,0.283248,-0.225857,0.996685,2.41858,11.2708,12.3915,12.4558,12.6766,15.8451,24.745,24.7862,25.1197,25.5687,34.6758,44.0097,53.7394,59.0918,0.978886,23.6733,3.26175e+07,1.37034e+06,57571.6
-31.2023,0.999335,0.522079,3,7,0,31.7079,0.705826,0.287145,-0.124499,0.705826,0.287145,-0.124499,0.993776,2.41284,11.2682,12.3905,12.4549,12.6761,15.8502,24.7688,24.81,25.1443,25.5943,34.7223,44.0781,53.8305,59.1955,0.988432,23.6801,3.2622e+07,1.37044e+06,57571.6
-31.5757,0.938267,0.522079,3,7,0,33.4189,0.707024,0.27289,-0.235218,0.707024,0.27289,-0.235218,0.993228,2.41416,11.3033,12.4309,12.4956,12.7178,15.9071,24.8708,24.9123,25.2483,25.7006,34.8771,44.2843,54.0917,59.4874,0.978039,23.6548,3.26053e+07,1.37009e+06,57571.6
-34.2106,0.785063,0.522079,2,3,0,34.4703,0.706879,0.263025,-0.722518,0.706879,0.263025,-0.722518,0.989845,2.3952,11.0393,12.1271,12.1894,12.4037,15.4753,24.0893,24.1291,24.4517,24.886,33.6923,42.7166,52.1239,57.2994,0.930303,23.6368,3.25936e+07,1.36984e+06,57571.6
-33.3855,0.967331,0.522079,3,15,0,34.9263,0.709877,0.302674,0.689852,0.709877,0.302674,0.689852,0.99292,2.42536,11.5752,12.7482,12.8156,13.0469,16.3728,25.7506,25.7941,26.1461,26.6201,36.2412,46.1101,56.4002,62.0613,1.06104,23.7067,3.264e+07,1.37081e+06,57571.6
-32.6359,0.933349,0.522079,2,7,0,34.6119,0.708522,0.289112,-0.345878,0.708522,0.289112,-0.345878,0.987413,2.39016,11.0532,12.146,12.2087,12.424,15.5116,24.1756,24.2157,24.5402,24.9771,33.8366,42.9143,52.3756,57.58,0.967364,23.6835,3.26243e+07,1.37048e+06,57571.6
-32.2026,0.956191,0.522079,2,7,0,33.5787,0.710417,0.293279,-0.152487,0.710417,0.293279,-0.152487,0.986137,2.39109,11.1222,12.2269,12.2903,12.5079,15.6308,24.4011,24.4417,24.7703,25.2127,34.1855,43.3808,52.9649,58.2369,0.985789,23.6907,3.26291e+07,1.37059e+06,57571.6
-31.081,0.944222,0.522079,2,5,0,32.1389,0.709094,0.280712,-0.076949,0.709094,0.280712,-0.076949,0.990637,2.4091,11.3062,12.4364,12.5013,12.724,15.9218,24.9128,24.9544,25.2915,25.7453,34.9519,44.3902,54.2298,59.643,0.992882,23.6688,3.26145e+07,1.37028e+06,57571.6
-31.9952,0.869937,0.522079,2,5,0,32.6366,0.700084,0.279454,-0.415409,0.700084,0.279454,-0.415409,1.00013,2.42282,11.224,12.3348,12.3986,12.6174,15.7562,24.5655,24.6063,24.9362,25.3805,34.39,43.6226,53.2461,58.5402,0.960681,23.6666,3.2613e+07,1.37025e+06,57571.6
-32.2079,0.973254,0.522079,3,7,0,33.2622,0.71246,0.265887,-0.110675,0.71246,0.265887,-0.110675,0.987914,2.40754,11.3676,12.5087,12.5742,12.7992,16.0297,25.1197,25.1618,25.5027,25.9617,35.2755,44.8266,54.7858,60.2654,0.989768,23.6421,3.2597e+07,1.36991e+06,57571.6
