# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CC_model
# start_datetime = 2023-07-24 10:21:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpseqr2vt3/mculhrra.json
# init = /tmp/tmpseqr2vt3/mi8fyus0.json
# random
#   seed = 77511
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/LCDM/CC/CC-20230724112113.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Om,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,H.10,H.11,H.12,H.13,H.14,H.15,H.16,H.17,H.18,H.19,H.20,H.21,H.22,H.23,H.24,H.25,H.26,H.27,H.28,H.29,H.30,H.31,H.32
# Adaptation terminated
# Step size = 0.369154
# Diagonal elements of inverse mass matrix:
# 0.00222, 0.0368718
-10.645,0.983048,0.369154,2,7,0,10.875,0.684628,0.375251,71.295,72.1531,73.4804,75.7978,76.2288,77.2012,77.2503,80.8153,81.3443,85.2937,86.8948,88.0603,88.0838,89.5422,90.7476,92.2787,92.793,92.8986,100.192,106.152,111.152,113.422,120.509,120.894,122.443,133.397,155.975,161.665,167.827,177.234,198.764,220.85
-8.83003,0.999518,0.369154,2,7,0,10.744,0.681345,0.329804,70.6177,71.3724,72.5415,74.5883,74.9696,75.8308,75.8743,79.0407,79.5117,83.0361,84.4688,85.513,85.534,86.8422,87.9246,89.3011,89.7637,89.8588,96.4391,101.838,106.38,108.446,114.907,115.259,116.674,126.697,147.443,152.685,158.367,167.05,186.956,207.412
-10.3156,0.990311,0.369154,4,15,0,10.3189,0.62623,0.448964,65.7105,66.6416,68.0778,70.5754,71.0385,72.082,72.1347,75.9441,76.5074,80.6981,82.3903,83.6198,83.6445,85.1806,86.4481,88.0557,88.595,88.7058,96.3248,102.516,107.69,110.034,117.333,117.729,119.321,130.548,153.568,159.349,165.604,175.14,196.92,219.214
-11.0623,0.951511,0.369154,3,7,0,12.3501,0.620065,0.482514,65.2863,66.2732,67.7939,70.4336,70.9225,72.0233,72.0789,76.0903,76.6825,81.0825,82.8562,84.1441,84.17,85.7778,87.1037,88.7842,89.3477,89.4635,97.4121,103.857,109.235,111.669,119.242,119.652,121.302,132.929,156.721,162.689,169.143,178.977,201.423,224.38
-12.8927,0.679859,0.369154,2,3,0,13.7041,0.609027,0.399022,63.5784,64.3878,65.6388,67.8199,68.2251,69.1391,69.1853,72.5312,73.0271,76.7251,78.2223,79.3115,79.3334,80.6956,81.8208,83.2494,83.729,83.8276,90.6206,96.1606,100.803,102.909,109.477,109.834,111.268,121.403,142.256,147.504,153.186,161.855,181.684,202.009
-12.3887,1,0.369154,2,3,0,13.0254,0.64153,0.481551,67.5397,68.5588,70.1293,72.8555,73.3603,74.4973,74.5547,78.6979,79.3096,83.8546,85.6869,87.0172,87.044,88.7049,90.0746,91.8107,92.3928,92.5124,100.724,107.383,112.94,115.455,123.28,123.704,125.409,137.423,162.01,168.177,174.847,185.01,208.208,231.934
-9.7627,1,0.369154,2,3,0,12.7411,0.636636,0.390969,66.4053,67.2351,68.5179,70.7558,71.1716,72.1097,72.1572,75.5933,76.1027,79.9033,81.4428,82.5629,82.5855,83.9866,85.1442,86.6142,87.1077,87.2092,94.2031,99.9105,104.695,106.866,113.639,114.007,115.487,125.945,147.474,152.894,158.764,167.721,188.211,209.22
-10.3745,0.762511,0.369154,1,3,0,11.6341,0.659788,0.415561,68.995,69.9065,71.3143,73.7668,74.2221,75.2487,75.3006,79.0554,79.6114,83.7548,85.4308,86.6496,86.6741,88.1978,89.4559,91.0527,91.5886,91.6988,99.283,105.46,110.632,112.977,120.287,120.684,122.28,133.546,156.699,162.522,168.824,178.438,200.415,222.931
-8.86555,0.98389,0.369154,3,11,0,10.5018,0.685806,0.323426,71.0326,71.778,72.9332,74.9563,75.3333,76.1849,76.228,79.3603,79.8264,83.3152,84.7341,85.7684,85.7892,87.0852,88.1577,89.5218,89.9803,90.0746,96.5992,101.956,106.464,108.515,114.932,115.281,116.687,126.647,147.276,152.49,158.143,166.782,186.595,206.961
-9.22564,0.824263,0.369154,2,5,0,10.1765,0.699012,0.276439,72.0427,72.6959,73.7098,75.4904,75.8229,76.5747,76.6128,79.3868,79.8006,82.9069,84.174,85.0991,85.1178,86.2785,87.2403,88.4651,88.8773,88.962,94.8459,99.7001,103.8,105.67,111.531,111.851,113.138,122.279,141.315,146.142,151.383,159.404,177.838,196.834
