                    Mean        MCSE        StdDev            5%           50%           95%       N_Eff   N_Eff/s    R_hat
dL[77]      3.507190e+00    0.000284      0.015475  3.481980e+00  3.507320e+00  3.532310e+00  2973.35000  1.369480  1.00050
dL[78]      3.524370e+00    0.000284      0.015521  3.499090e+00  3.524510e+00  3.549580e+00  2992.73000  1.378410  1.00049
dL[79]      3.605260e+00    0.000283      0.015743  3.579510e+00  3.605350e+00  3.630830e+00  3086.05000  1.421390  1.00046
dL[80]      3.623380e+00    0.000283      0.015793  3.597500e+00  3.623500e+00  3.649080e+00  3107.64000  1.431330  1.00046
dL[81]      3.636700e+00    0.000283      0.015831  3.610710e+00  3.636840e+00  3.662450e+00  3123.45000  1.438610  1.00045
dL[82]      3.641060e+00    0.000283      0.015843  3.615030e+00  3.641210e+00  3.666800e+00  3128.71000  1.441040  1.00045
dL[83]      3.644320e+00    0.000283      0.015853  3.618270e+00  3.644480e+00  3.670100e+00  3132.63000  1.442840  1.00045
dL[84]      3.645290e+00    0.000283      0.015855  3.619230e+00  3.645450e+00  3.671070e+00  3133.90000  1.443430  1.00045
dL[85]      3.667220e+00    0.000283      0.015918  3.641020e+00  3.667380e+00  3.693200e+00  3160.26000  1.455570  1.00044
dL[86]      3.685900e+00    0.000283      0.015971  3.659610e+00  3.686040e+00  3.711980e+00  3183.13000  1.466100  1.00043
dL[87]      3.686440e+00    0.000283      0.015973  3.660150e+00  3.686580e+00  3.712530e+00  3183.86000  1.466440  1.00043
dL[88]      3.691670e+00    0.000283      0.015988  3.665340e+00  3.691820e+00  3.717790e+00  3190.23000  1.469370  1.00043
dL[89]      3.705840e+00    0.000283      0.016029  3.679460e+00  3.705970e+00  3.732110e+00  3207.73000  1.477430  1.00043
dL[90]      3.714470e+00    0.000283      0.016054  3.688040e+00  3.714610e+00  3.740840e+00  3218.44000  1.482370  1.00042
dL[91]      3.737820e+00    0.000283      0.016122  3.711250e+00  3.737980e+00  3.764370e+00  3247.60000  1.495790  1.00042
dL[92]      3.761970e+00    0.000283      0.016193  3.735310e+00  3.762140e+00  3.788530e+00  3278.10000  1.509850  1.00041
dL[93]      3.775800e+00    0.000283      0.016235  3.749080e+00  3.775960e+00  3.802410e+00  3295.71000  1.517950  1.00040
dL[94]      3.816140e+00    0.000283      0.016356  3.789280e+00  3.816300e+00  3.843000e+00  3347.47000  1.541800  1.00039
dL[95]      3.858420e+00    0.000283      0.016486  3.831430e+00  3.858510e+00  3.885390e+00  3402.73000  1.567240  1.00038
dL[96]      3.864240e+00    0.000283      0.016504  3.837190e+00  3.864320e+00  3.891230e+00  3410.27000  1.570720  1.00037
dL[97]      3.869590e+00    0.000283      0.016521  3.842550e+00  3.869680e+00  3.896610e+00  3417.35000  1.573980  1.00037
dL[98]      3.887230e+00    0.000283      0.016576  3.860150e+00  3.887370e+00  3.914360e+00  3440.57000  1.584680  1.00037
dL[99]      3.898600e+00    0.000283      0.016612  3.871480e+00  3.898750e+00  3.925790e+00  3455.68000  1.591640  1.00036
dL[100]     3.903170e+00    0.000283      0.016626  3.876040e+00  3.903320e+00  3.930390e+00  3461.81000  1.594460  1.00036
dL[101]     3.914170e+00    0.000283      0.016661  3.886990e+00  3.914290e+00  3.941490e+00  3476.43000  1.601190  1.00036
dL[102]     3.981610e+00    0.000283      0.016879  3.954020e+00  3.981820e+00  4.009290e+00  3567.22000  1.643010  1.00033
dL[103]     4.011680e+00    0.000283      0.016978  3.983900e+00  4.011880e+00  4.039530e+00  3608.09000  1.661830  1.00033
dL[104]     4.016270e+00    0.000283      0.016993  3.988470e+00  4.016470e+00  4.044140e+00  3614.20000  1.664650  1.00032
dL[105]     4.018760e+00    0.000283      0.017001  3.990970e+00  4.018950e+00  4.046640e+00  3617.55000  1.666190  1.00032
dL[106]     4.042780e+00    0.000283      0.017082  4.014870e+00  4.043010e+00  4.070820e+00  3650.61000  1.681420  1.00032
dL[107]     4.047320e+00    0.000283      0.017097  4.019380e+00  4.047550e+00  4.075410e+00  3656.62000  1.684190  1.00031
dL[108]     4.050450e+00    0.000283      0.017108  4.022490e+00  4.050690e+00  4.078550e+00  3660.95000  1.686180  1.00031
dL[109]     4.080870e+00    0.000283      0.017212  4.052770e+00  4.081170e+00  4.109150e+00  3702.50000  1.705320  1.00030
dL[110]     4.114860e+00    0.000283      0.017329  4.086540e+00  4.115210e+00  4.143420e+00  3749.37000  1.726900  1.00029
dL[111]     4.124530e+00    0.000283      0.017363  4.096090e+00  4.124860e+00  4.153130e+00  3762.66000  1.733020  1.00029
dL[112]     4.127090e+00    0.000283      0.017372  4.098620e+00  4.127430e+00  4.155700e+00  3766.13000  1.734620  1.00029
dL[113]     4.138160e+00    0.000283      0.017411  4.109640e+00  4.138470e+00  4.166820e+00  3783.54000  1.742640  1.00029
dL[114]     4.144970e+00    0.000283      0.017435  4.116400e+00  4.145290e+00  4.173700e+00  3794.99000  1.747920  1.00029
dL[115]     4.158690e+00    0.000283      0.017484  4.130010e+00  4.159000e+00  4.187510e+00  3817.94000  1.758480  1.00028
dL[116]     4.173370e+00    0.000283      0.017536  4.144590e+00  4.173710e+00  4.202380e+00  3842.70000  1.769890  1.00028
dL[117]     4.240520e+00    0.000282      0.017781  4.211350e+00  4.240830e+00  4.270320e+00  3967.62000  1.827430  1.00026
dL[118]     4.270960e+00    0.000282      0.017895  4.241670e+00  4.271270e+00  4.300980e+00  4034.97000  1.858440  1.00025
dL[119]     4.306680e+00    0.000281      0.018030  4.277140e+00  4.307000e+00  4.336880e+00  4114.22000  1.894950  1.00024
dL[120]     4.330620e+00    0.000281      0.018122  4.300860e+00  4.331040e+00  4.360900e+00  4168.08000  1.919750  1.00024
dL[121]     4.331460e+00    0.000281      0.018126  4.301680e+00  4.331880e+00  4.361750e+00  4169.70000  1.920500  1.00024
dL[122]     4.349980e+00    0.000280      0.018197  4.320030e+00  4.350400e+00  4.380370e+00  4210.97000  1.939510  1.00023
dL[123]     4.353040e+00    0.000280      0.018209  4.323070e+00  4.353470e+00  4.383420e+00  4217.79000  1.942650  1.00023
dL[124]     4.381830e+00    0.000280      0.018323  4.351680e+00  4.382230e+00  4.412210e+00  4282.07000  1.972260  1.00022
dL[125]     4.418070e+00    0.000280      0.018468  4.387670e+00  4.418440e+00  4.448710e+00  4363.37000  2.009700  1.00022
dL[126]     4.431130e+00    0.000279      0.018520  4.400600e+00  4.431510e+00  4.461730e+00  4392.44000  2.023090  1.00021
dL[127]     4.473610e+00    0.000281      0.018694  4.442730e+00  4.474020e+00  4.504400e+00  4431.31000  2.040990  1.00020
dL[128]     4.480210e+00    0.000281      0.018722  4.449240e+00  4.480620e+00  4.511010e+00  4436.34000  2.043310  1.00020
dL[129]     4.487170e+00    0.000281      0.018750  4.456220e+00  4.487560e+00  4.518000e+00  4441.67000  2.045770  1.00020
dL[130]     4.488390e+00    0.000281      0.018756  4.457440e+00  4.488780e+00  4.519210e+00  4442.66000  2.046220  1.00020
dL[131]     4.498830e+00    0.000282      0.018799  4.467890e+00  4.499200e+00  4.529720e+00  4450.56000  2.049860  1.00020
dL[132]     4.499240e+00    0.000282      0.018801  4.468290e+00  4.499610e+00  4.530140e+00  4450.88000  2.050010  1.00020
dL[133]     4.515280e+00    0.000282      0.018868  4.484200e+00  4.515670e+00  4.546330e+00  4462.95000  2.055570  1.00019
dL[134]     4.533360e+00    0.000283      0.018945  4.502220e+00  4.533730e+00  4.564540e+00  4476.23000  2.061690  1.00019
dL[135]     4.549510e+00    0.000284      0.019014  4.518320e+00  4.549870e+00  4.580810e+00  4487.96000  2.067090  1.00019
dL[136]     4.554470e+00    0.000284      0.019035  4.523240e+00  4.554820e+00  4.585800e+00  4491.48000  2.068710  1.00019
dL[137]     4.557880e+00    0.000284      0.019050  4.526650e+00  4.558210e+00  4.589260e+00  4493.92000  2.069830  1.00019
dL[138]     4.583540e+00    0.000285      0.019161  4.552050e+00  4.583830e+00  4.615150e+00  4511.94000  2.078130  1.00018
dL[139]     4.607590e+00    0.000286      0.019266  4.575890e+00  4.607850e+00  4.639360e+00  4528.26000  2.085650  1.00018
dL[140]     4.618840e+00    0.000287      0.019315  4.587040e+00  4.619140e+00  4.650690e+00  4535.81000  2.089120  1.00017
dL[141]     4.627600e+00    0.000287      0.019354  4.595750e+00  4.627910e+00  4.659540e+00  4541.59000  2.091790  1.00017
dL[142]     4.674290e+00    0.000289      0.019563  4.642110e+00  4.674570e+00  4.706420e+00  4571.36000  2.105500  1.00016
dL[143]     4.737360e+00    0.000292      0.019853  4.704770e+00  4.737730e+00  4.770140e+00  4608.43000  2.122570  1.00015
dL[144]     4.739500e+00    0.000293      0.019863  4.706890e+00  4.739880e+00  4.772300e+00  4609.60000  2.123110  1.00015
dL[145]     4.758430e+00    0.000294      0.019952  4.725700e+00  4.758750e+00  4.791390e+00  4620.03000  2.127920  1.00015
dL[146]     4.768320e+00    0.000294      0.019998  4.735430e+00  4.768710e+00  4.801360e+00  4625.32000  2.130350  1.00015
dL[147]     4.784540e+00    0.000295      0.020075  4.751460e+00  4.784870e+00  4.817780e+00  4633.81000  2.134260  1.00015
dL[148]     4.784720e+00    0.000295      0.020076  4.751630e+00  4.785060e+00  4.817960e+00  4633.90000  2.134310  1.00015
dL[149]     4.788830e+00    0.000295      0.020095  4.755660e+00  4.789170e+00  4.822120e+00  4636.04000  2.135290  1.00015
dL[150]     4.792540e+00    0.000295      0.020113  4.759290e+00  4.792900e+00  4.825880e+00  4637.91000  2.136150  1.00015
dL[151]     4.802760e+00    0.000296      0.020162  4.769420e+00  4.803100e+00  4.836190e+00  4643.12000  2.138550  1.00014
dL[152]     4.813110e+00    0.000296      0.020211  4.779720e+00  4.813470e+00  4.846660e+00  4648.29000  2.140930  1.00014
dL[153]     4.822410e+00    0.000297      0.020256  4.788900e+00  4.822790e+00  4.856050e+00  4652.80000  2.143010  1.00014
