# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = CMB_model
# start_datetime = 2023-07-24 13:42:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /tmp/tmpnyslm103/hi0c7hrz.json
# init = /tmp/tmpnyslm103/eun7fobf.json
# random
#   seed = 94167
# output
#   file = /home/undercover/teaching/internships/ia/2022-23/Code/output/fQ-Lfree/CMB/CMB-20230724144208.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,h,Ob,Oc,wr,Or,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,E,dE,I,dI,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0370085
# Diagonal elements of inverse mass matrix:
# 0.000122705, 1.04453e-05, 6.65254e-05
-1.18342,0.957066,0.0370085,5,47,0,4.50887,0.727261,0.0422243,0.225349,4.15e-05,7.84635e-05,0.411302,0.0610089,0.548122,1091.83,0.727261,0.0422243,0.225349,7.84635e-05,0.411302,1091.83,1,0.287065,0,1,21474.1,3.37269,0.0351269,301.639,1.74461,0.0223328,0.0688413,0.00390927,5.27908e-05
-1.2198,0.867135,0.0370085,5,43,0,2.94647,0.731619,0.0415086,0.220007,4.15e-05,7.75315e-05,0.4135,0.061248,0.54823,1091.87,0.731619,0.0415086,0.220007,7.75315e-05,0.4135,1091.87,1,0.27952,0,1,21259,3.40416,0.0354496,301.681,1.74084,0.0222182,0.111247,0.000138194,-6.18183e-05
-1.14906,0.969164,0.0370085,5,55,0,2.37044,0.735121,0.0412158,0.217899,4.15e-05,7.67946e-05,0.414369,0.0611331,0.548178,1091.79,0.735121,0.0412158,0.217899,7.67946e-05,0.414369,1091.79,1,0.276545,0,1,21158,3.41697,0.0356096,301.456,1.73935,0.0222731,-0.113875,-0.00134853,-6.87228e-06
-1.26079,0.972108,0.0370085,4,31,0,1.96988,0.735306,0.0413146,0.216781,4.15e-05,7.67559e-05,0.414737,0.0609986,0.548117,1091.65,0.735306,0.0413146,0.216781,7.67559e-05,0.414737,1091.65,1,0.275284,0,1,21121,3.4224,0.0356416,301.663,1.73868,0.0223378,0.0934676,-0.00201619,5.77656e-05
-0.583906,0.995646,0.0370085,1,3,0,1.53529,0.735266,0.0411585,0.216888,4.15e-05,7.67643e-05,0.414755,0.0611794,0.548199,1091.78,0.735266,0.0411585,0.216888,7.67643e-05,0.414755,1091.78,1,0.275223,0,1,21123.6,3.42266,0.035653,301.59,1.73865,0.022251,0.0204817,-0.00204646,-2.9025e-05
-0.385836,0.973782,0.0370085,5,43,0,1.08023,0.733874,0.0413911,0.218817,4.15e-05,7.70557e-05,0.413973,0.0610937,0.54816,1091.77,0.733874,0.0413911,0.218817,7.70557e-05,0.413973,1091.77,1,0.277899,0,1,21199.9,3.41113,0.0355395,301.534,1.74004,0.0222921,-0.0361879,-0.000662687,1.20538e-05
-0.428129,0.984579,0.0370085,2,7,0,0.625879,0.733714,0.0413071,0.218625,4.15e-05,7.70894e-05,0.414073,0.0612084,0.548212,1091.83,0.733714,0.0413071,0.218625,7.70894e-05,0.414073,1091.83,1,0.277557,0,1,21194.5,3.41258,0.035552,301.557,1.73986,0.0222371,-0.0130866,-0.000844743,-4.28876e-05
-0.407548,0.982595,0.0370085,5,47,0,0.883666,0.735505,0.0411997,0.217061,4.15e-05,7.67143e-05,0.414677,0.0611027,0.548164,1091.74,0.735505,0.0411997,0.217061,7.67143e-05,0.414677,1091.74,1,0.275488,0,1,21127.4,3.42153,0.0356468,301.543,1.7388,0.0222877,-0.0265493,-0.00190147,7.70094e-06
-0.66226,0.993829,0.0370085,6,99,0,1.21621,0.727016,0.0420535,0.225544,4.15e-05,7.85164e-05,0.411293,0.0612286,0.548221,1091.98,0.727016,0.0420535,0.225544,7.85164e-05,0.411293,1091.98,1,0.287096,0,1,21481.2,3.37257,0.0351329,301.575,1.74462,0.0222275,0.00534904,0.00392265,-5.25475e-05
-0.454808,0.987185,0.0370085,5,59,0,2.06457,0.730892,0.0417552,0.221839,4.15e-05,7.76858e-05,0.412747,0.0610651,0.548147,1091.81,0.730892,0.0417552,0.221839,7.76858e-05,0.412747,1091.81,1,0.282104,0,1,21326.2,3.39328,0.0353506,301.56,1.74216,0.0223058,-0.0101631,0.00146047,2.57609e-05
-0.72761,0.978028,0.0370085,3,7,0,1.02775,0.73062,0.0415098,0.221209,4.15e-05,7.77437e-05,0.413064,0.061374,0.548286,1091.98,0.73062,0.0415098,0.221209,7.77437e-05,0.413064,1091.98,1,0.281015,0,1,21306.5,3.39783,0.0353919,301.612,1.7416,0.0221581,0.0420132,0.000895379,-0.000121868
-0.523333,0.979647,0.0370085,5,47,0,1.55444,0.728003,0.041884,0.224265,4.15e-05,7.83036e-05,0.41182,0.0612902,0.548249,1091.99,0.728003,0.041884,0.224265,7.83036e-05,0.41182,1091.99,1,0.285287,0,1,21430.4,3.38,0.0352085,301.592,1.74373,0.0221981,0.0217823,0.00302946,-8.19492e-05
-0.590364,0.989992,0.0370085,3,15,0,0.83988,0.727684,0.0420315,0.224773,4.15e-05,7.83722e-05,0.411581,0.0611673,0.548193,1091.92,0.727684,0.0420315,0.224773,7.83722e-05,0.411581,1091.92,1,0.286105,0,1,21450.6,3.37663,0.0351718,301.605,1.74414,0.0222567,0.0352116,0.0034359,-2.32666e-05
-0.840673,0.824166,0.0370085,6,75,0,2.48641,0.7398,0.0407847,0.213043,4.15e-05,7.58263e-05,0.416275,0.0610321,0.548132,1091.62,0.7398,0.0407847,0.213043,7.58263e-05,0.416275,1091.62,1,0.27002,0,1,20956.2,3.44562,0.0359021,301.507,1.73595,0.0223216,-0.063159,-0.00475119,4.16201e-05
-1.3292,0.994587,0.0370085,5,43,0,1.7186,0.742602,0.0405099,0.210445,4.15e-05,7.52551e-05,0.417308,0.060995,0.548116,1091.55,0.742602,0.0405099,0.210445,7.52551e-05,0.417308,1091.55,1,0.266492,0,1,20844.9,3.46153,0.0360706,301.484,1.73407,0.0223395,-0.0856697,-0.00663008,5.94729e-05
-1.53819,0.959226,0.0370085,2,7,0,1.88758,0.742274,0.0404449,0.210392,4.15e-05,7.53217e-05,0.417351,0.0611106,0.548168,1091.61,0.742274,0.0404449,0.210392,7.53217e-05,0.417351,1091.61,1,0.266347,0,1,20845.4,3.46218,0.0360739,301.513,1.73398,0.0222839,-0.0568779,-0.00671649,3.93271e-06
